"gene","has_TES_peak","has_TEAD1_peak","has_DMR","TES_peak_count","TEAD1_peak_count","DMR_count","category"
"EPS8L3",TRUE,TRUE,TRUE,2,1,1,"TES + TEAD1 + DMR"
"LINC01768",TRUE,TRUE,TRUE,4,2,3,"TES + TEAD1 + DMR"
"CSF1",TRUE,TRUE,TRUE,1,2,2,"TES + TEAD1 + DMR"
"AHCYL1",TRUE,TRUE,FALSE,2,1,0,"TEAD1 only"
"SLC16A4",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"CHI3L2",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"RAP1A",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"LINC01160",TRUE,FALSE,FALSE,1,0,0,"TES only"
"KCND3",TRUE,TRUE,TRUE,2,1,3,"TES + TEAD1 + DMR"
"LINC01750",TRUE,TRUE,FALSE,1,2,0,"TEAD1 only"
"CTTNBP2NL",TRUE,TRUE,TRUE,1,2,2,"TES + TEAD1 + DMR"
"MIR4256",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"WNT2B",TRUE,TRUE,TRUE,2,2,3,"TES + TEAD1 + DMR"
"ST7L",TRUE,TRUE,TRUE,4,1,1,"TES + TEAD1 + DMR"
"LRIG2",TRUE,FALSE,TRUE,1,0,3,"TES + DMR"
"MAGI3",TRUE,FALSE,FALSE,7,0,0,"TES only"
"PHTF1",TRUE,TRUE,TRUE,6,1,5,"TES + TEAD1 + DMR"
"RSBN1",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LOC107985443",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"DENND2C",TRUE,FALSE,TRUE,1,0,8,"TES + DMR"
"CSDE1",TRUE,FALSE,FALSE,1,0,0,"TES only"
"TSPAN2",TRUE,FALSE,FALSE,4,0,0,"TES only"
"LINC01765",TRUE,TRUE,TRUE,8,5,4,"TES + TEAD1 + DMR"
"NGF-AS1",TRUE,TRUE,TRUE,5,1,5,"TES + TEAD1 + DMR"
"NGF",TRUE,FALSE,FALSE,5,0,0,"TES only"
"LOC112268234",TRUE,FALSE,TRUE,7,0,1,"TES + DMR"
"LOC124900438",TRUE,TRUE,TRUE,4,2,2,"TES + TEAD1 + DMR"
"VANGL1",TRUE,TRUE,TRUE,5,2,1,"TES + TEAD1 + DMR"
"CASQ2",TRUE,TRUE,FALSE,2,4,0,"TEAD1 only"
"NHLH2",TRUE,TRUE,TRUE,1,2,2,"TES + TEAD1 + DMR"
"LINC01649",TRUE,FALSE,TRUE,3,0,4,"TES + DMR"
"SLC22A15",TRUE,FALSE,TRUE,2,0,4,"TES + DMR"
"MAB21L3",TRUE,TRUE,TRUE,2,1,2,"TES + TEAD1 + DMR"
"LOC124904669",TRUE,TRUE,TRUE,3,2,3,"TES + TEAD1 + DMR"
"LOC105378920",TRUE,FALSE,FALSE,3,0,0,"TES only"
"ATP1A1",TRUE,TRUE,TRUE,4,2,2,"TES + TEAD1 + DMR"
"ATP1A1-AS1",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"LOC112268235",TRUE,TRUE,TRUE,2,5,4,"TES + TEAD1 + DMR"
"CD2",TRUE,TRUE,TRUE,4,2,7,"TES + TEAD1 + DMR"
"PTGFRN",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"TTF2",TRUE,TRUE,TRUE,4,2,1,"TES + TEAD1 + DMR"
"TRIM45",TRUE,TRUE,FALSE,2,2,0,"TEAD1 only"
"VTCN1",TRUE,TRUE,FALSE,9,4,0,"TEAD1 only"
"LINC01525",TRUE,FALSE,TRUE,2,0,1,"TES + DMR"
"MAN1A2",TRUE,FALSE,TRUE,3,0,4,"TES + DMR"
"GDAP2",TRUE,TRUE,TRUE,2,1,1,"TES + TEAD1 + DMR"
"SPAG17",TRUE,TRUE,TRUE,15,3,5,"TES + TEAD1 + DMR"
"LOC105378930",TRUE,TRUE,TRUE,12,3,6,"TES + TEAD1 + DMR"
"TBX15",TRUE,TRUE,TRUE,5,2,22,"TES + TEAD1 + DMR"
"LOC105378933",TRUE,TRUE,TRUE,1,1,8,"TES + TEAD1 + DMR"
"WARS2",TRUE,TRUE,TRUE,5,1,1,"TES + TEAD1 + DMR"
"WARS2-AS1",TRUE,TRUE,TRUE,2,1,5,"TES + TEAD1 + DMR"
"LINC01780",TRUE,TRUE,TRUE,2,1,3,"TES + TEAD1 + DMR"
"HSD3B2",TRUE,FALSE,TRUE,2,0,1,"TES + DMR"
"HSD3B1",TRUE,FALSE,FALSE,2,0,0,"TES only"
"LINC00622",TRUE,TRUE,TRUE,1,6,2,"TES + TEAD1 + DMR"
"PHGDH",TRUE,TRUE,TRUE,1,1,6,"TES + TEAD1 + DMR"
"HMGCS2",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"REG4",TRUE,FALSE,FALSE,1,0,0,"TES only"
"ADAM30",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"NOTCH2",TRUE,FALSE,TRUE,3,0,1,"TES + DMR"
"LOC105369199",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LINC02798",TRUE,FALSE,TRUE,2,0,1,"TES + DMR"
"EMBP1",TRUE,TRUE,TRUE,4,1,15,"TES + TEAD1 + DMR"
"SRGAP2B",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"PDZK1",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"RNF115",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"POLR3C",TRUE,FALSE,FALSE,1,0,0,"TES only"
"PRKAB2",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"BCL9",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"ACP6",TRUE,TRUE,FALSE,1,2,0,"TEAD1 only"
"GJA5",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LOC102723321",TRUE,FALSE,FALSE,1,0,0,"TES only"
"RNVU1-7",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LINC01731",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"LOC105371225",TRUE,FALSE,FALSE,1,0,0,"TES only"
"RNVU1-1",TRUE,TRUE,TRUE,1,1,2,"TES + TEAD1 + DMR"
"OTUD7B",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"PLEKHO1",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LINC02988",TRUE,FALSE,FALSE,1,0,0,"TES only"
"CTSS",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"PIP5K1A",TRUE,TRUE,TRUE,1,1,5,"TES + TEAD1 + DMR"
"PI4KB",TRUE,TRUE,TRUE,1,1,2,"TES + TEAD1 + DMR"
"POGZ",TRUE,FALSE,TRUE,2,0,3,"TES + DMR"
"CGN",TRUE,FALSE,TRUE,1,0,2,"TES + DMR"
"THEM4",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
